영농작물,재배제목,재배내용
상추,수확하기,"상추는 모종을 1개월가량 기르고 본밭에 심어서 2주가 지나면 첫 수확을 할 수 있다. 상추는 잎을 딸 때, 잎이 크고 완전하게 갖추어진 잎을 따며 아직 크게 전개되지 않은 것은 두어야 한다. 이때 상추 잎의 크기는 손바닥 크기 정도일 때가 쌈 싸먹기에 가장 알맞은 크기이다. 포기 상추는 씨앗을 뿌린 후 60일경에 포기 채로 수확한다."
상추,밑거름,"① 모든 작물의 밑거름은 10일 이전에 주어야 하는데, 밭 전면에 밑거름을 고루 뿌리고 밭을 갈아엎어 경운작업으로 밑거름이 흙속에 고루 섞이게 한다. 텃밭에서 기계작업이 힘들 경우에는 인력으로 삽을 이용해서 하는 수밖에 없다. ② 텃밭의 밑거름은 원예용 복합비료를 이용하는 것이 여러모로 편리하다. 원예용 복합비료는 여러 가지 제품이 나와 있는데, 예를 들어 성분량이 10-11-12-2(고토)-0.3(붕소)으로 표시되어있을 경우에 비료성분은 질소(N) 10%, 인산(P) 11%, 칼리(K) 12%, 고토(Mg) 2%, 붕소(B) 0.3%가 함유되어 있음을 의미하며 전 세계적으로 공통적인 표기방법이다. ③ 상추 밭에 밑거름은 1㎡ 당 퇴비 1.5 kg, 원예용복합비료 100g 또는 혼합유기질비료 300 g을 밭 전면에 고루 펼쳐 뿌려준다. 복합비료가 아닌 단용비료로 줄때는 1㎡ 당 퇴비를 1.5kg, 요소 22g, 용과린 30g, 염화가리 11g, 석회 200g을 밑거름으로 넣어준다."
상추,이랑만들기,퇴비와 비료를 고루 펼친 다음 밭을 갈아엎고 로터리 작업으로 흙을 곱게 분쇄한 다음 이랑을 150cm로 만들어 두둑은 120cm 고랑은 30~40cm로 만드는데 상추 심기 10일전까지 만들어야 한다. (그림 1. 상추 두둑 만들기와 아주심기)
상추,파종하기,"① 상추씨의 파종은 육묘상을 만들어 6cm 간격으로 작은골을 내어 파종하는 방법과 플러그 트레이에 육묘하는 방법이 있는데, 200공 플러그 트레이에 육묘하는 것이 관리에 편리하고 모가 고르게 자라며 본밭에 내다 심어도 몸살을 적게 한다. ② 육묘용 상토는 물 빠짐이 좋고 통기성이 우수하며 병해충에 오염되지 않고 비료성분이 고루 함유되어 있는 토양이 좋다. 상추 육묘에서는 엽채류 육묘전용 상토를 사용하는 것이 입고병을 예방할 수 있으며 튼튼한 모를 안전하게 기를 수 있다."
상추,아주심기,"▷ 상추 모종 고르기 : 좋은 상추 모종은 본엽이 4매 내외이며 해충의 피해가 없으며 잎이 짙은 녹색으로 힘이 있어야 한다. 모종을 뽑아 보아 뿌리의 색깔은 흰색이며 뿌리털이 솜털처럼 살아 있는 모종이 좋은 모종이다. ▷ 모종 심는 시기 : 상추는 남부지방은 3월 하순, 중부지방은 4월 상순부터 심을 수 있다. 상추 모종 심는 깊이는 가급적 얕게 심는 것이 좋다. 상추 모종을 깊이 심게 되면 봄철 흙 온도가 낮아서 활착이 더디므로 흙 온도가 높은 표층에 얕게 심어야 새 뿌리가 빨리 나와 초기생육이 빨라 수확기을 앞당길 수 있다.▷ 상추 모종 심기 : 심는 거리는 품종에 따라 차이가 있지만 텃밭에 심는 잎 따는 상추는 열간격을 15~20cm로 하고 포기 간격을 15~20cm로 심는 것이 일반적이다. 비옥한 밭은 상추가 크게 자라기 때문에 20×20cm 간격으로 심으면 25주/1㎡ 심을 수 있고, 밭이 다소 척박한 땅은 상추가 다소 작게 자라기 때문에 15×15cm로 심으면 442주/1㎡를 심을 수 있다."
상추,솎음작업,① 육묘상 파종한 상추의 씨가 싹이 트면 솎음작업을 실시하는데 1차 솎음은 싹이 터서 모두 올라오면 떡잎 모양이 정상적이며 뿌리가 올곧은 것으로 1본을 남기고 솎아준다. ② 상추 솎음작업은 한 번에 끝내므로 옆에 있는 상추 떡잎을 보와 평균적으로 고르게 생육한 것으로 남기면 서로 동등한 세력으로 경쟁을 해가며 양분과 수분을 나누어 흡수하도록 하면 전체 생육이 고르게 자라서 모종이 고르게 자란다.
상추,웃거름,"① 웃거름은 두 번으로 나누어 주는데 1차 웃거름은 상추 모종을 심은 날로부터 20일경에 주고 2차 웃거름은 1차 후 15일경에 준다. ② 1차 웃거름은 식물체로부터 15cm 떨어진 곳에 깊이 5~10cm로 파서 비료를 넣어주고 흙으로 덮어준다. ③ 2차 웃거름은 열 사이를 파서 비료를 넣어준다. ④ 웃거름은 웃거름 전용비료(N-K비료)로 주는 것이 편리한데 웃거름 전용비료인 ‘원예추비’(13-0-13-3-0.3)나 ‘원예웃거름’(12-0-12-2-0.2)이 있다. 웃거름을 ‘원예추비’나 ‘원예웃거름’으로 줄 경우에 1차와 2차에 각각 60g/㎡을 주며 자람세를 보아 주는 양을 가감할 수 있다.⑤ 화학비료 대신 깻묵비료를 만들어 줄 수 있는데, 깻묵과 쌀겨를 3:2로 섞어서 10배 물을 부어 2개월가량 발효시킨다. 이때 물대신 막걸리로 대신하여도 좋고 흑설탕을 조금 가미하여도 좋다. 발효가 끝나면 윗물을 따로 받아 물 10배에 희석하여 물 비료 상태로 웃거름으로 준다. ⑥ 깻묵 찌꺼기는 밭흙 속에 넣어주어도 좋다. 깻묵비료는 발효하면서 냄새가 고약하므로 아파트에서는 만들기 곤란하다."
아스파라거스,이랑만들기,"① 토심이 깊고 물빠짐이 좋은 토양이 좋다. 특별히 이랑을 만들지 않고 텃밭의 상황에 맞게 정식을 해도 좋지만, 이랑을 만들 경우는 폭은 약 60cm정도로 조성한다.② 정식할 자리에 폭 40cm, 깊이 50~80cm정도로 구덩이를 파고, 20~30정도 높이로 볏짚, 우드칩, 퇴비 등을 다져 넣고 흙을 덮는다."
아스파라거스,아주심기,"① 정식을 하기에 적당한 모종은 키가 약 20~30cm 정도로 잎이 3~4매 정도가 좋다. ② 아스파라거스 모종은 줄기가 매우 가늘어 정식할 때 간격을 좁게 심을 수 있다. 하지만 1, 2년이 지나면 줄기도 굵어지고 포기도 넓어지기 때문에 포기 사이를 너무 가까이 심지 않도록 주의해야 한다. 이랑에 줄을 맞춰 심는 경우라면 40~45cm 간격으로 심는 것이 좋다. ③ 포트에서 꺼낸 모종의 뿌리를 펼쳐서 심으며, 지면보다 조금 깊게 심는다.④ 정식한 후에는 모종이 마르지 않도록 물을 충분히 준다."
아스파라거스,파종하기,"1. 종자 구입① 아스파라거스는 아직 모종으로 판매하는 곳이 거의 없기 때문에 종자를 구입해 직접 모종을 길러야 할 것이다.② 몇년 전만 해도 아스파라거스 종자의 가격이 비싸고, 판매 단위가 커서 텃밭을 하는 사람들이 구입하기에는 부담이 있었지만, 최근에는 소량의 종자를 판매하는 종묘상이 늘고 있고 인터넷을 통해서도 쉽게 구입할 수 있다.2. 모종 만들기① 모종은 밭에서 기를 수도 있지만 스티로폼박스를 이용하면 집안에서 쉽게 기를 수 있다. 4월 중순 경에 스티로폼박스에 모래를 담고 종자를 흩뿌린 뒤 모래로 살짝 덮어준다. ② 스티로폼 상자에서 약 2개월 정도 키우면 모종이 20~30cm정도로 자라는데, 그대로 스티로폼 상자에서 키우는 것 보다는 모종이 약 10cm정도로 자랐을 때 비닐포트에 한차례 옮겨심어 키우면 훨씬 더 세력이 강한 모종을 만들 수 있다.  ③ 파종한 종자는 마르지 않도록 하루 1회 정도 지속적으로 물을 준다."
아스파라거스,아주심기,"① 정식을 하기에 적당한 모종은 키가 약 20~30cm 정도로 잎이 3~4매 정도가 좋다. ② 아스파라거스 모종은 줄기가 매우 가늘어 정식할 때 간격을 좁게 심을 수 있다. 하지만 1, 2년이 지나면 줄기도 굵어지고 포기도 넓어지기 때문에 포기 사이를 너무 가까이 심지 않도록 주의해야 한다. 이랑에 줄을 맞춰 심는 경우라면 40~45cm 간격으로 심는 것이 좋다. ③ 포트에서 꺼낸 모종의 뿌리를 펼쳐서 심으며, 지면보다 조금 깊게 심는다.④ 정식한 후에는 모종이 마르지 않도록 물을 충분히 준다."
아스파라거스,밑거름,"① 아스파라거스는 뿌리가 깊고 넓게 뻗는 성질이 있고, 뿌리로 월동을 하기 때문에 볏짚이나 우드칩 등과 같이 오랜기간 비료효과를 낼 수 있는 거친 유기물을 사용하면 좋다.② 이랑을 만들기 전에 땅에 구덩이를 파고 우드칩이나 볏짚, 퇴비 등을 넣는다.③ 아스파라거스는 다비성 작물이기 때문에 수확이 끝난 늦가을이나 싹이 나오기 전인 이른 봄에 완숙퇴비 등으로 웃거름을 충분히 준다. 텃밭에서 나온 농산물 찌꺼기 등과 같은 부산물을 수시로 아스파라거스 포기 주변으로 쌓아 놓으면 비료효과와 보수효과가 있어 좋다."
아스파라거스,재배관리,"1. 1, 2년차 관리▷ 1, 2년까지는 새 줄기가 나오더라도 뿌리의 활력을 위해 수확하지 않고 계속해서 기른다.2. 지주 세우기▷ 정식을 하고 줄기가 자라면 대나무나 시판용 지주대 등을 이용해 줄기를 묶어주면 쓰러지지 않고 뿌리 활착이 빠르다.▷ 2년차 이후에도 줄기가 커지면 지주대를 세워 줄기를 묶어주는 것이 관리하기에 편하다.3. 잡초제거▷아스파라거스의 수확시기는 일반 잡초가 자라나는 시기보다 빠르기 때문에 잡초가 문제가 되지 않는다. 다만 수확 이후 여름철에는 포기 주변의 잡초를 뽑아주는 것이 좋은데, 포기 밑둥 주변으로 짚이나 우드칩 등을 두껍게 깔아두면 잡초억제와 비료효과를 낼 수 있어 좋다.4. 줄기 자르기▷가을이 되면 아스파라거스의 줄기가 노랗게 마르기 시작하는데, 뿌리의 영양분이 소모되지 않고 월동을 할 수 있도록 마른 줄기를 일시에 베어버린다. 베어낸 줄기는 태워버리거나 잘게 짤라 포기 주변에 깔아주면 좋다."
아스파라거스,수확하기,"① 정식 후 2년차의 겨울이 지나 땅이 녹고 따뜻한 기운이 돌면 아스파라거스의 순이 나오기 시작한다. 아스파라거스 자체는 추위에 매우 강한 채소이지만 새싹은 0℃ 이하로 내려가면 쉽게 냉해를 입는다. 따라서 이른 봄 싹이 나오고 있는 중에 기온이 영하로 내려가는 일이 있으면 야간에는 보온매트 등으로 덮어주는 것이 좋다. ② 기온이 올라가면 새순이 자라는 속도가 매우 빨라지는데, 순의 길이가 25cm정도 자라면 땅 속 1cm정도 깊이에서 칼이나 가위 등으로 자른다. 순을 잡아당겨서 수확하면 뿌리에 손상을 입힐 수도 있어 가능하면 칼이나 가위를 이용해 수확하는 것이 좋다. ③ 수확은 7~8월까지도 가능하지만, 뿌리의 활력을 위해서 포기당 6~7개 정도의 건강한 줄기를 계속해서 자라도록 둔다."
아스파라거스,수확 후 보관,"① 수확한 후에는 바로 요리를 해서 먹는 것이 좋으나, 한창 순이 올라올 때는 저장을 해 두고 먹을 수도 있다.② 물을 적신 종이로 아스파라거스를 싸서 냉장고에 보관하면 2주일 이상 보관이 가능하다."
토마토,토마토의 수세판단,"① 토마토의 이상적인 생육상태는 잎과 잎의 마디 길이가 3~4cm가 좋고 줄기에 붙은 잎의 각도가 60°, 줄기에서 소엽까지 길이는 6cm정도가 이상적이다.(그림1. 토마토의 이상적인 생육상태)② 또, 토마토의 초형을 보아 수세를 판단할 수 있는데 토마토 초형이 역삼각형은 현재 수세가 강하여 웃거름을 주지 말아야 하며, 초형이 직사각형 모양으로 곧게 자라면 정상적인 생육으로 웃거름을 계획대로 주고, 키가 지나치게 작게 자라서 정사각형 초형일 경우에는 웃거름을 계획대로 주며 관수량을 늘려 준다.(그림2. 토마토 수세판단)"
토마토,순따기와 줄기유인,"① 토마토는 원 줄기가 자라면서 잎이 붙은 안쪽에서 곁가지가 발생하지만 토마토 착과는 원줄기에 하므로 곁가지는 10cm 이상 자라지 않도록 제거해준다. 토마토 꽃은 원줄기의 9마디 내외에서 제1화방에 꽃이 피는데, 일반 토마토는 4개 내외의 꽃이 피고, 제2화방은 원줄기 11~12마디 내외에서 발생하여 4~6개의 꽃이 피고, 제3화방은 14~15마디 내외에서 발생하며, 다시 제4화방은 17~18마디에서 발생하고 이후 제5화방은 20마디 내외에서 발생하는 것이 일반적이다.② 생육온도가 높으면 화방 발생이 불량하여 화방발생 간격이 커진다. 방울토마토의 경우 각 화방에서 개화하는 꽃의 개수는 최소 20개 이상이며 영양 상태에 따라서 50~60개까지도 수확할 수 있다. 또, 각 화방의 발생속도는 대략 1화방에 1주일 정도의 간격으로 생육이 진전된다. ③ 또한, 토마토 화방 나오는 방향은 제1화방 방향이 남쪽으로 발생하여 나오면 2, 3, 4, 5화방도 제1화방과 같은 남쪽 방향으로 나온다. 따라서 토마토 모종을 심을 때 제1화방 방향을 살펴서 제1화방 나온 방향을 남쪽으로 심거나 햇빛이 잘 드는 고랑 쪽을 바라보고 심으면 토마토 관리가 쉬울 뿐만 아니라 토마토 과일이 성숙하면서 착색이 양호하고 토마토 고유의 맛과 향이 우수하게 성숙된다. ④ 대개, 텃밭에서는 5화방까지 가꾸는 것이 좋다. 더 이상 자라게 하는 것은 토질의 한계에 이르기 때문인데 토질이 좋은 곳은 6화방 이상까지도 가능할 것이고 토질이 불량한 곳은 5화방까지 가꾸는 것도 벅찰 것이다. 수확을 종료하고자 할 때는 수확예정 화방의 위쪽 잎 2~3매를 남기고 순을 질러준다. 순을 질러주면 동화양분이 수확예정 화방까지 균등하고 충분하게 되어 과실의 성숙이 양호해진다.(그림. 토마토 줄기유인과 착과 그리고 곁순따주기)"
토마토,수확하기,토마토는 꽃이 핀 후 45~50일경이 경과하면 과일 겉 표면이 빨갛게 착색이 된다. 같은 화방 내에서도 꽃이 순차적으로 피기 때문에 성숙하는 것도 순차적으로 이루어져 제일 먼저 꽃핀 것이 제일 먼저 성숙과 착색이 이루어져 수확이 제일 빠르다. 그러므로 토마토는 착색이 빠른 것부터 순차적으로 따서 이용한다. 수확하는 때는 햇볕이 뜨거운 한 낮에 수확하면 과일의 온도가 높아 저장성이 떨어진다. 그러므로 과일의 온도가 낮은 이른 아침이나 저녁때 수확하는 것이 좋다. 방울토마토도 마찬가지이다.
토마토,이랑만들기,"퇴비와 비료를 고루 펼친 다음 밭을 갈아엎고 로터리 작업으로 흙을 곱게 분쇄한 다음 두줄이랑은 180cm로 만들어 두둑은 150cm 고랑은 30cm로 만들고, 한줄이랑은 100cm로 하여 두둑은 60cm 고랑은 40cm로 만드는데 토마토를 심기 1주일 전까지는 만들어야 한다. (그림 1. 토마토 이랑 만들기와 심는 거리)"
토마토,1차 밑거름,"텃밭에 밑거름을 줄 때는 복합비료를 주는 것이 간편하다. 원예용 복합비료는 여러 가지 제품이 나와 있는데, 예를 들어 성분량이 10-11-12-2(고토)-0.3(붕소)으로 표시되어있을 경우에 비료성분은 질소(N) 10%, 인산(P) 11%, 칼리(K) 12%, 고토(Mg) 2%, 붕소(B) 0.3%가 함유되어 있음을 의미하며 전 세계적으로 공통적인 표기방법이다. 토마토 밭에 밑거름은 1㎡ 당 퇴비 2 kg, 원예용 복합비료 136g 또는 혼합유기질비료 350 g을 밭 전면에 고루 펼쳐 뿌려준다. 텃밭은 규모가 작기 때문에 작물별로 비료를 세분하여 따로 줄 수 없다. 그래서 위의 비료량을 밑거름으로 준 다음 다른 작물을 심어도 큰 문제가 없다. 복합비료가 아닌 단용비료로 줄 때는 1㎡ 당 퇴비를 2kg, 요소 30g, 용과린 82g, 염화가리 13g, 석회 200g을 준다."
토마토,모기르기,토마토는 모 기르는 기간이 70일 가량으로 길며 온도관리와 물 관리 등 세심한 노력이 들어가므로 텃밭에 심을 모종은 직접 기르는 것보다 사다 심는 것이 좋다.
토마토,모종심기(아주심기),"① 토마토 좋은 모종 고르기▷토마토 잎이 10개 이상이 나고 제1화방에 8마디 정도에 붙어있고, 꽃이 1개 정도 개화한것이 좋다. ▷키가 큰 것보다는 작은 것, 떡잎이 노랗게 노화된 것 보다 짙은 녹색을 유지하는 것이 좋다.▷플러그트레이에서 뿌리를 뽑아 보아 뿌리가 흰색으로 솜털 같은 잔뿌리가 보이는 것이 좋다.▷뿌리 색깔이 누렇게 변색된 것은 뿌리가 노화된 것으로 노화된 모종은 심으면 새 뿌리가 더디게 나오므로 활착이 늦어져 초기 생육이 늦어지므로 유의한다. ② 토마토 모종 심는 시기▷토마토는 서리에 매우 약하므로 늦서리가 끝나는 5월에 심어야 안전하다.▷심는 시기를 당겨서 4월에 심으면 자칫 늦서리 피해로 모종을 다 죽이고 다시 심어야 하는 경우도 생길 수 있으니 중부지역은 5월 상순, 남부지방은 4월 하순 이후에 심어야 서리 피해를 피할 수 있다.③ 토마토 모종 심기 좋은 날▷모종을 심기 좋은 날은 햇빛좋고 맑은 날이 좋은데, 맑은 날은 땅 온도가 높아 뿌리의 활착이 매우 빠르게 진행된다. ▷바람이 심하게 부는 날은 모종의 잎에서 증산작용이 활발하여 쉽게 시들게 되므로 좋지 않다. ▷비가 오는 날은 물주는 노력을 덜 수는 있지만 땅 온도가 낮아서 좋지 않다. ④ 모종 심는 요령▷토마토 모종을 심을 때 주의해야할 점은 모종 흙이 밭 흙 위로 올라오도록 얕게 심는 것이다. ▷모종을 얕게 심으면 땅 온도가 높아서 뿌리내림이 매우 빨라진다. ▷햇빛을 직접 받는 겉흙은 땅 온도가 빨리 오르는 반면 땅속 깊은 곳은 온도가 낮아서 새 뿌리의 발생이 더디기 때문이다. ▷또, 모종은 땅에 맞닿는 부분이 병으로부터 매우 취약하므로 모종 흙이 땅 위로 약간 드러나게 심으면 땅에서 전염되는 병의 감염을 막을 수 있다.  ⑤ 토마토 모종 심는 간격▷두 줄 이랑에서 줄 간격은 80cm, 심는 간격은 40cm로 심으며 외 골이랑은 35~40cm 간격으로 심는다."
토마토,토마토의 수세판단,"토마토의 이상적인 생육상태는 잎과 잎의 마디 길이가 3~4cm가 좋고 줄기에 붙은 잎의 각도가 60°, 줄기에서 소엽까지 길이는 6cm정도가 이상적이다. 또, 토마토의 초형을 보아 초세를 판단할 수 있는데 토마토 초형이 역삼각형은 현재 초세가 강하여 웃거름을 주지 말아야 하며 초형이 직사각형 모양으로 곧게 자라면 정상적인 생육으로 웃거름을 계획대로 주고, 키가 지나치게 작게 자라서 정사각형 초형일 경우에는 웃거름을 계획대로 주며 관수량을 늘려 준다.(그림 토마토의 이상적인 생육상태)"
토마토,웃거름,"토마토 웃거름은 모두 3회로 나누어 준다. 1차 웃거름은 토마토를 심은 후 25∼30일경에 주며, 2차 웃거름은 1차 웃거름을 준 후 20∼25일경에 주고, 3차 웃거름은 2차 웃거름 준 후 20∼25일 경에 준다. 이렇듯 일정한 간격으로 웃거름을 주다보면 토마토의 생육이 너무 과도하게 자라서 과실의 성장이 불량해질 수 있다. 그러므로 웃거름은 토마토의 자라는 모양새를 잘 살펴서 균형 있게 자라도록 한다. (그림 토마토 웃거름 주는 위치)▷ 웃거름 주는 양 : 1차 웃거름은 식물체로부터 15cm 떨어진 곳에 깊이 5~10cm로 파서 비료를 넣어주고 흙으로 덮어준다. 2차 웃거름은 25cm 가량 떨어진 열 사이를 파서 비료를 넣어준다. 3차 웃거름은 고랑이나 열 사이에 웃거름을 준다. 웃거름은 웃거름 전용비료(N-K비료)로 주는 것이 편리한데 웃거름 전용 비료인 ‘원예추비’(13-0-13-3-0.3)나 ‘원예웃거름’(12-0-12-2-0.2)이 있다. 웃거름을 ‘원예추비’나 ‘원예웃거름’으로 줄 경우에 매회 34g/㎡을 주며 자라는 모양새를 보아 주는 양을 가감할 수 있다.화학비료 대신 깻묵비료를 만들어 줄 수 있는데, 깻묵과 쌀겨를 3:2로 섞어서 10배 물을 부어 2개월가량 발효시킨다. 이때 물대신 막걸리로 대신하여도 좋고 흑설탕을 조금 가미하여도 좋다. 발효가 끝나면 윗물을 따로 받아 물 10배에 희석하여 물 비료 상태로 웃거름으로 준다. 깻묵 찌꺼기는 밭 흙 속에 넣어주어도 좋다. 깻묵비료는 발효하면서 냄새가 고약하므로 아파트에서는 만들기 곤란하다."
감자,밑거름,"▷ 봄감자 밑거름① 텃밭에 밑거름을 줄 때는 복합비료를 주는 것이 간편하다. 원예용 복합비료는 여러 가지 제품이 나와 있는데, 예를 들어 성분량이 10-11-12-2(고토)-0.3(붕소)으로 표시되어있을 경우에 비료성분은 질소(N) 10%, 인산(P) 11%, 칼리(K) 12%, 고토(Mg) 2%, 붕소(B) 0.3%가 함유되어 있음을 의미하며 전 세계적으로 공통적인 표기방법이다. ② 밑거름은 1㎡ 당 퇴비 1.5 kg, 원예용복합비료 100g 또는 혼합유기질비료 300 g을 밭 전면에 고루 펼쳐 뿌려준다. 텃밭은 규모가 작기 때문에 작물별로 비료를 세분하여 따로 줄 수 없다. 그래서 위의 비료량을 밑거름으로 준 다음 다른 작물을 심어도 큰 문제가 없다. ③ 복합비료가 아닌 단용비료로 줄때는 1㎡ 당 퇴비를 1.5kg, 요소 22g, 용과린 30g, 염화가리 20g, 석회 100g을 넣어준다. ▷ 가을감자가을감자는 생육후반부에 온도가 낮아지므로 생육전반부에 생육을 촉진시키기 위해 밑거름을 봄 재배 보다 20% 정도 늘리는 것이 좋다."
감자,이랑만들기,퇴비와 비료를 고루 펼친 다음 밭을 갈아엎고 로터리 작업으로 흙을 곱게 분쇄한 다음 이랑을 100cm로 만들어 두둑은 70cm 고랑은 30cm로 만드는데 감자를 심기 10일전까지 만들어야 한다.  (그림 1. 이랑 만들기와 파종간격)
감자,씨감자 심기,"1. 봄 재배▷ 봄 씨감자 산광처리①씨감자를 육아상(그림1. 씨감자 육아상 재배)을 만들고 싹을 길러 내다 심는 것은 노력이 많이 들어 산광싹틔우기 재배법을 많이 취한다. 산광싹틔우기는 씨감자 중에 얼거나 상한것이 없는지를 확인한다. ②20~30일 전에 저장고에서 꺼내어 다음 감자를 심기전까지 직사광선이 들지 않는 따뜻한 비닐하우스나 양지바른 곳에 내어 놓아 감자 잠을 깨운다. ③이렇게 하면 감자 눈에서 싹이 터서 3~5cm 가량 자라면 감자를 칼로 절단한다. 씨감자를 자를때 한쪽당 최소 한개 이상의 눈이 들어가게 하며 100g 이하의 작은 감자는 2등분하고, 중간 크기인 100~150g 정도는 3등분을 하며 150g 이상 큰 감자는 4등분을 하는데, 이때 감자 한쪽의 무게는 대개 40~50g 정도가 알맞다.(그림2. 씨감자 절단) ④절단한 감자는 2~3일간 거적으로 덮어 14~15℃ 기온에서 상대습도를 85~90%로 유지시켜 치유한다. 이렇게 치유한 감자는 다시 약한 햇빛에 노출시켜 감자 싹을 튼튼하게 한 다음 심는다.(그림3. 감자 욕광싹틔기)2. 가을 재배▷ 가을 씨감자 심기 : 가을재배에는 씨감자를 절단하지 않고 재배하는 것이 좋다. 7~8월의 기상은 고온 다습하므로 이때 씨감자를 절단하면 절단면이 쉽게 썩을 수 있기 때문이다. 그러므로 가을감자 씨감자 크기는 30~60g 크기의 감자를 싹틔우기를 생략하고 씨감자를 바로 심는 것이 좋다. 그리고 봄 감자 심는 간격보다 조금 베게 심는 것이 좋다."
감자,북주기,"▷ 봄 감자감자를 심은 후 싹이 올라온 다음, 감자 포기의 주변에 흙을 북돋아 주는 작업을 북주기라고 한다. 감자 북주기는 줄기를 올바르게 세워주어 쓰러짐을 예방하고 포기 주변의 김매기 효과가 있으며 뿌리를 깊게 하여 보호해주어 감자가 햇빛에 노출되어 솔라닌이 형성되는 것을 예방할 수 있다.▷ 가을 감자가을감자는 비닐피복을 하지 않으며 땅 온도가 높게 올라가는 것을 예방하기 위해 감자를 심고 두둑을 볏짚이나 풀을 베어 덮어주면 땅 온도 상승, 가뭄 피해와 폭우의 토양 유실을 막을 수 있다."
감자,물주기,① 우리나라 봄철 기상은 대체로 강우가 적어서 가뭄현상이 나타난다. 이러한 현상은 장마가 시작되는 6월 중하순 경까지 지속되는데 이 기간은 감자를 심고 나서부터 감자 수확할 때까지 감자 전 생육기가 봄 가뭄이 예상되는 시기이다. 그러므로 봄에 감자밭에 물주기를 해 주면 감자 밑이 잘 들어 수확의 기쁨을 크게 누릴 수 있다. ② 물주기는 고랑에 물을 대어 줄 수도 있고 작은 면적에 조로를 이용하여 물을 줄 수 있다. 물을 줄 때는 흠뻑 주어 뿌리 깊은 곳까지 물을 충분히 스며들 수 있도록 충분하게 물을 주어야 한다. 겉흙만 적실 정도로 물을 적게 주면 뿌리의 분포를 얕게 하며 감자 수량 증대에 큰 도움이 못되므로 물주기는 물을 흠뻑 주는 노력이 필요하다. 물론 과다한 수분은 좋지 않다.
감자,감자 비대시 관리,"①감자의 비대는 감자 꽃이 개화하는 시기부터 잎줄기가 노랗게 변하기 시작할 때까지가 감자 비대기이다. 감자 비대는 토양수분이 결정적인 영향을 미친다. 따라서 감자 비대기에 토양 수분이 부족하지 않도록 물주기를 해준다. 대개 물주기 간격은 1주일에 1회 정도가 알맞다. ②덩이줄기 비대에 알맞은 낮 온도가 23~24℃, 밤 온도는 10~14℃이며 일장은 단일 조건이 알맞다. 낮 온도가 25℃ 이상에서는 괴경(덩이줄기) 형성과 비대가 억제된다."
감자,수확하기,▷ 봄 감자① 6월 하순경 하지 무렵이 되면 감자 잎줄기가 노랗게 변하기 시작 한다. 감자 잎이 노랗게 변하기 시작하면 감자의 괴경 비대는 끝났다고 볼 수 있다. 이때가 감자 수확적기이다. ② 감자는 호미나 괭이로 수확할 수 있는데 감자가 상처를 입지 않도록 조심스럽게 수확한다. 대단위 면적의 감자 수확은 트랙터나 경운기 부착 굴착기로 수확하기 때문에 감자가 상처 없이 수확하기 쉬운데 소농기구를 이용하면 깊이 팔 수 없기에 감자가 상처를 입기 쉽다. ③ 이렇게 상처 입은 감자와 장마기간에 감자를 수확하면 감자가 쉽게 썩는다. 그러므로 장마가 시작되기 이전에 감자를 수확하는 것이 좋으며 맑은 날 감자를 수확하여 통풍이 잘되는 냉암소에 저장한다. 감자를 햇빛에 오랫동안 노출시키면 감자 체온이 높아져서 저장 중에 쉽게 썩으므로 주의한다. ▷ 감자 상처 치유 : 수확할 때 발생한 감자의 상처는 감자가 썩는 원인이 되지만 상처 입은 감자는 생리적으로 보호조직을 재생시킨다. 이것을 감자 상처치유라고 하는데 12~18℃ 온도에서 80~85% 습도로 2주간 저장시키면 재생조직이 잘 발달되어 치유된다. 온도가 낮으면 치유기간이 늘어나고 온습도가 높으면 부패될 수가 있으니 주의한다.(그림1. 수확 후 치유)▷ 가을 감자 : 씨감자를 심은 후 100일 전후로 수확하는데 수확기가 영하로 떨어지거나 수확하여 영하로 노출시키면 저장성이 크게 떨어지므로 감자를 얼리지 않도록 한다.
쑥갓,밑거름,"① 텃밭에 밑거름을 줄 때는 복합비료를 주는 것이 간편하다. 원예용 복합비료는 여러 가지 제품이 나와 있는데, 예를 들어 성분량이 10-11-12-2(고토)-0.3(붕소)으로 표시되어있을 경우에 비료성분은 질소(N) 10%, 인산(P) 11%, 칼리(K) 12%, 고토(Mg) 2%, 붕소(B) 0.3%가 함유되어 있음을 의미하며 전 세계적으로 공통적인 표기방법이다. ②쑥갓 밑거름은 1㎡ 당 퇴비 1.5 kg, 원예용복합비료 100g 또는 혼합유기질비료 300 g을 밭 전면에 고루 펼쳐 뿌려준다. 텃밭은 규모가 작기 때문에 작물별로 비료를 세분하여 따로 줄 수 없다. 그래서 위의 비료량을 밑거름으로 준 다음 다른 작물을 심어도 큰 문제가 없다. ③복합비료가 아닌 단용비료로 줄때는 1㎡ 당 퇴비를 1.5kg, 요소 10g, 용과린 30g, 염화가리 8g, 석회 200g을 준다."
쑥갓,이랑만들기,퇴비와 비료를 고루 펼친 다음 밭을 갈아엎고 로터리 작업으로 흙을 곱게 분쇄한 다음 이랑을 150cm로 만들어 두둑은 120cm 고랑은 30cm로 만드는데 쑥갓 씨를 뿌리기 10일 전까지 만들어야 한다.  (그림 1. 쑥갓 이랑과 씨앗뿌리는 간격)
